A1|24      HORTIFRUTI DO CHEF LTDA                                               AV Dr Gastao Vidigal                    1946  PV  AMB  BOX  16 B  Vila Leopoldina     Sao Paulo           SP0531400012607393000185    147521337116                03550308
B2|SNF 1    21181    2692          5102    114          Limao                                             00000000005000000000500000005000000000000000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    118          Maca Argentina                                    00000000001000000001000000010000000000000000000980000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    121          Mamao Formosa                                     00000000002500000010000000100000000000000000001370000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    124          Manga Palmer                                      00000000003000000003000000030000000000000000002190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    127          Maracuja                                          00000000002000000010000000100000000000000000001320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    133          Morango                                           00000000000300000004000000040000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    31           Abobrinha Italiana                                00000000003000000010000000100000000000000000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    310          Cenoura                                           00000000004000000010000000100000000000000000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    356          Tomate Cereja                                     00000000001000000003000000030000000000000000001190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    326          Tomate Salada                                     00000000007000000010000000100000000000000000005110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
